Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-HSA-3000171,Non-integrin membrane-ECM interactions,,-5.2,6.8,6.7,30211,59,680,9,1.3,0.44,3691|3693|3914|5154|5578|6382|6385|7057|284217,ITGB4|ITGB5|LAMB3|PDGFA|PRKCA|SDC1|SDC4|THBS1|LAMA1,-3.1,MyList
GO Biological Processes,19,GO:0030195,negative regulation of blood coagulation,19_GO:0048519 negative regulation of biological process,-5.2,7.9,7,30211,45,680,8,1.2,0.41,18|928|1906|3827|5055|5154|5270|7035,ABAT|CD9|EDN1|KNG1|SERPINB2|PDGFA|SERPINE2|TFPI,-3.1,MyList
KEGG Pathway,24,hsa04151,PI3K-Akt signaling pathway,,-5.2,2.9,5.4,30211,354,680,23,3.4,0.69,598|1435|1942|2149|2321|3691|3693|3694|3914|5154|5291|5578|6009|7039|7057|7099|7184|8515|9170|9863|80310|148327|284217,BCL2L1|CSF1|EFNA1|F2R|FLT1|ITGB4|ITGB5|ITGB6|LAMB3|PDGFA|PIK3CB|PRKCA|RHEB|TGFA|THBS1|TLR4|HSP90B1|ITGA10|LPAR2|MAGI2|PDGFD|CREB3L4|LAMA1,-3.1,MyList
GO Biological Processes,19,GO:0001894,tissue homeostasis,19_GO:0032501 multicellular organismal process,-5.2,3.4,5.6,30211,234,680,18,2.6,0.62,216|1435|2149|2651|3694|5027|5284|6513|6647|6833|7099|8842|9076|9456|23154|27347|84879|100506658,ALDH1A1|CSF1|F2R|GCNT2|ITGB6|P2RX7|PIGR|SLC2A1|SOD1|ABCC8|TLR4|PROM1|CLDN1|HOMER1|NCDN|STK39|MFSD2A|OCLN,-3.1,MyList
GO Biological Processes,19,GO:0007420,brain development,19_GO:0032502 developmental process,-5.2,2.2,5.1,30211,742,680,37,5.4,0.87,18|306|664|1272|1813|2009|2539|3625|3736|4036|4129|5076|5270|5793|6299|6513|6751|6867|7476|9693|22903|22941|22943|22983|23054|23224|23236|23705|54407|55681|79625|80055|80714|84879|146760|284403|285025,ABAT|ANXA3|BNIP3|CNTN1|DRD2|EML1|G6PD|INHBB|KCNA1|LRP2|MAOB|PAX2|SERPINE2|PTPRG|SALL1|SLC2A1|SSTR1|TACC1|WNT7A|RAPGEF2|BTBD3|SHANK2|DKK1|MAST1|NCOA6|SYNE2|PLCB1|CADM1|SLC38A2|SCYL2|NDNF|PGAP1|PBX4|MFSD2A|RTN4RL1|WDR62|CCDC141,-3.1,MyList
Reactome Gene Sets,6,R-HSA-556833,Metabolism of lipids,,-5.2,2.2,5.1,30211,742,680,37,5.4,0.87,231|1040|2581|4036|5291|5321|5467|6584|7368|8309|8395|8706|9663|11010|11283|23054|23171|29841|51144|51228|51573|54677|57488|64850|80230|80736|81537|84879|129642|133121|133522|162466|166929|253558|254531|340485|390916,AKR1B1|CDS1|GALC|LRP2|PIK3CB|PLA2G4A|PPARD|SLC22A5|UGT8|ACOX2|PIP5K1B|B3GALNT1|LPIN2|GLIPR1|CYP4F8|NCOA6|GPD1L|GRHL1|HSD17B12|GLTP|GDE1|CROT|ESYT2|ETNPPL|RUFY1|SLC44A4|SGPP1|MFSD2A|MBOAT2|ENPP6|PPARGC1B|PHOSPHO1|SGMS2|LCLAT1|LPCAT4|ACER2|NUDT19,-3.1,MyList
GO Biological Processes,19,GO:0060249,anatomical structure homeostasis,19_GO:0065007 biological regulation,-5.2,3.2,5.5,30211,281,680,20,2.9,0.65,134|216|1435|2149|2651|2660|3694|5027|5284|6513|6647|6833|7099|8842|9076|9456|23154|27347|84879|100506658,ADORA1|ALDH1A1|CSF1|F2R|GCNT2|MSTN|ITGB6|P2RX7|PIGR|SLC2A1|SOD1|ABCC8|TLR4|PROM1|CLDN1|HOMER1|NCDN|STK39|MFSD2A|OCLN,-3.1,MyList
GO Biological Processes,19,GO:0031099,regeneration,19_GO:0032502 developmental process,-5.2,4.2,5.9,30211,148,680,14,2.1,0.54,306|928|2660|3484|4814|5774|6430|7006|7294|7476|8837|9076|10404|146760,ANXA3|CD9|MSTN|IGFBP1|NINJ1|PTPN3|SRSF5|TEC|TXK|WNT7A|CFLAR|CLDN1|CPQ|RTN4RL1,-3.1,MyList
GO Biological Processes,19,GO:1904064,positive regulation of cation transmembrane transport,19_GO:0051179 localization,-5.2,4.2,5.9,30211,148,680,14,2.1,0.54,1906|2149|2539|2852|3736|5174|6536|6769|6833|9992|65125|65268|81671|84766,EDN1|F2R|G6PD|GPER1|KCNA1|PDZK1|SLC6A9|STAC|ABCC8|KCNE2|WNK1|WNK2|VMP1|CRACR2A,-3.1,MyList
GO Biological Processes,19,GO:0009100,glycoprotein metabolic process,19_GO:0008152 metabolic process,-5.2,3,5.4,30211,330,680,22,3.2,0.68,267|1514|2589|2650|2651|4248|4321|5467|8702|8706|9514|10164|22822|26301|51809|55808|57171|79625|84620|84899|91949|266722,AMFR|CTSL|GALNT1|GCNT1|GCNT2|MGAT3|MMP12|PPARD|B4GALT4|B3GALNT1|GAL3ST1|CHST4|PHLDA1|GBGT1|GALNT7|ST6GALNAC1|DOLPP1|NDNF|ST6GAL2|TMTC4|COG7|HS6ST3,-3.1,MyList
Reactome Gene Sets,6,R-HSA-196854,Metabolism of vitamins and cofactors,,-5.2,3.7,5.8,30211,190,680,16,2.4,0.58,4036|4337|5167|5593|6382|6385|6513|6697|6947|8566|8884|10560|51293|54956|56922|64087,LRP2|MOCS1|ENPP1|PRKG2|SDC1|SDC4|SLC2A1|SPR|TCN1|PDXK|SLC5A6|SLC19A2|CD320|PARP16|MCCC1|MCCC2,-3.1,MyList
GO Biological Processes,19,GO:0050803,regulation of synapse structure or activity,19_GO:0065007 biological regulation,-5.1,3.5,5.7,30211,213,680,17,2.5,0.6,40|1006|1813|1942|2823|5063|5800|7476|9456|22941|22943|23191|26037|51804|58489|64084|389941,ASIC2|CDH8|DRD2|EFNA1|GPM6A|PAK3|PTPRO|WNT7A|HOMER1|SHANK2|DKK1|CYFIP1|SIPA1L1|SIX4|ABHD17C|CLSTN2|C1QL3,-3,MyList
GO Biological Processes,19,GO:1900047,negative regulation of hemostasis,19_GO:0048519 negative regulation of biological process,-5.1,7.7,6.9,30211,46,680,8,1.2,0.41,18|928|1906|3827|5055|5154|5270|7035,ABAT|CD9|EDN1|KNG1|SERPINB2|PDGFA|SERPINE2|TFPI,-3,MyList
GO Biological Processes,19,GO:0040008,regulation of growth,19_GO:0040007 growth,-5.1,2.3,5.1,30211,660,680,34,5,0.84,598|978|1435|1813|1839|1906|2539|2660|3484|4490|4739|5167|5270|5357|5467|6423|6647|7429|8437|9021|9133|9699|22999|23191|23236|23493|28982|51804|56920|80014|80736|84879|85004|152404,BCL2L1|CDA|CSF1|DRD2|HBEGF|EDN1|G6PD|MSTN|IGFBP1|MT1B|NEDD9|ENPP1|SERPINE2|PLS1|PPARD|SFRP2|SOD1|VIL1|RASAL1|SOCS3|CCNB2|RIMS2|RIMS1|CYFIP1|PLCB1|HEY2|FLVCR1|SIX4|SEMA3G|WWC2|SLC44A4|MFSD2A|RERG|IGSF11,-3,MyList
GO Biological Processes,19,GO:0001763,morphogenesis of a branching structure,19_GO:0032502 developmental process,-5.1,3.9,5.8,30211,171,680,15,2.2,0.56,1435|1813|1906|4824|5076|5314|6299|6423|9021|54567|57471|80000|157506|170690|284217,CSF1|DRD2|EDN1|NKX3-1|PAX2|PKHD1|SALL1|SFRP2|SOCS3|DLL4|ERMN|GREB1L|RDH10|ADAMTS16|LAMA1,-3,MyList
GO Biological Processes,19,GO:0071363,cellular response to growth factor stimulus,19_GO:0050896 response to stimulus,-5.1,2.6,5.2,30211,464,680,27,4,0.75,1906|2321|2651|2660|3096|3693|3694|4036|5076|5154|6272|7057|7099|7429|7476|8837|9076|9573|9693|9863|54206|54567|55198|79625|80310|130399|163126,EDN1|FLT1|GCNT2|MSTN|HIVEP1|ITGB5|ITGB6|LRP2|PAX2|PDGFA|SORT1|THBS1|TLR4|VIL1|WNT7A|CFLAR|CLDN1|GDF3|RAPGEF2|MAGI2|ERRFI1|DLL4|APPL2|NDNF|PDGFD|ACVR1C|EID2,-3,MyList
GO Biological Processes,19,GO:0007264,small GTPase mediated signal transduction,19_GO:0023052 signaling,-5.1,3.2,5.5,30211,261,680,19,2.8,0.63,392|1012|5899|6009|6239|8727|9693|9771|10256|10451|23191|23348|80005|80230|85004|93663|139818|153020|171177,ARHGAP1|CDH13|RALB|RHEB|RREB1|CTNNAL1|RAPGEF2|RAPGEF5|CNKSR1|VAV3|CYFIP1|DOCK9|DOCK5|RUFY1|RERG|ARHGAP18|DOCK11|RASGEF1B|RHOV,-3,MyList
GO Biological Processes,19,GO:0010942,positive regulation of cell death,19_GO:0048518 positive regulation of biological process,-5.1,2.4,5.1,30211,604,680,32,4.7,0.81,134|467|664|1948|2852|2896|3625|3827|4217|4824|5027|5063|5291|5654|6423|6533|6647|7057|7099|8309|8915|9693|22822|22943|23612|25803|26471|54507|81618|90427|130399|340485,ADORA1|ATF3|BNIP3|EFNB2|GPER1|GRN|INHBB|KNG1|MAP3K5|NKX3-1|P2RX7|PAK3|PIK3CB|HTRA1|SFRP2|SLC6A6|SOD1|THBS1|TLR4|ACOX2|BCL10|RAPGEF2|PHLDA1|DKK1|PHLDA3|SPDEF|NUPR1|ADAMTSL4|ITM2C|BMF|ACVR1C|ACER2,-3,MyList
GO Biological Processes,19,GO:0045446,endothelial cell differentiation,19_GO:0032502 developmental process,-5.1,5.8,6.4,30211,77,680,10,1.5,0.46,182|1910|2150|5144|6781|9076|9693|23493|153562|169044,JAG1|EDNRB|F2RL1|PDE4D|STC1|CLDN1|RAPGEF2|HEY2|MARVELD2|COL22A1,-3,MyList
GO Biological Processes,19,GO:0070848,response to growth factor,19_GO:0050896 response to stimulus,-5.1,2.5,5.2,30211,493,680,28,4.1,0.76,306|1906|2321|2651|2660|3096|3693|3694|4036|5076|5154|6272|7057|7099|7429|7476|8837|9076|9573|9693|9863|54206|54567|55198|79625|80310|130399|163126,ANXA3|EDN1|FLT1|GCNT2|MSTN|HIVEP1|ITGB5|ITGB6|LRP2|PAX2|PDGFA|SORT1|THBS1|TLR4|VIL1|WNT7A|CFLAR|CLDN1|GDF3|RAPGEF2|MAGI2|ERRFI1|DLL4|APPL2|NDNF|PDGFD|ACVR1C|EID2,-3,MyList
GO Biological Processes,19,GO:0061005,cell differentiation involved in kidney development,19_GO:0032502 developmental process,-5,7.6,6.8,30211,47,680,8,1.2,0.41,182|1910|5076|5800|6299|8842|9863|55366,JAG1|EDNRB|PAX2|PTPRO|SALL1|PROM1|MAGI2|LGR4,-3,MyList
GO Biological Processes,19,GO:1901615,organic hydroxy compound metabolic process,19_GO:0008152 metabolic process,-5,2.6,5.2,30211,467,680,27,4,0.75,55|216|231|1080|1592|1610|1813|1910|2539|3628|4036|4129|5321|5467|5593|6697|7038|8566|10404|10826|23236|51573|81537|84532|157506|197257|340485,ACP3|ALDH1A1|AKR1B1|CFTR|CYP26A1|DAO|DRD2|EDNRB|G6PD|INPP1|LRP2|MAOB|PLA2G4A|PPARD|PRKG2|SPR|TG|PDXK|CPQ|FAXDC2|PLCB1|GDE1|SGPP1|ACSS1|RDH10|LDHD|ACER2,-3,MyList
GO Biological Processes,19,GO:0000904,cell morphogenesis involved in differentiation,19_GO:0032502 developmental process,-5,2.5,5.1,30211,522,680,29,4.3,0.77,214|1272|1813|1906|1942|1948|2317|3914|3925|5063|5076|5314|5357|5800|6647|6781|7476|22903|22943|23022|23191|23671|51057|51062|56920|79983|84879|169044|284217,ALCAM|CNTN1|DRD2|EDN1|EFNA1|EFNB2|FLNB|LAMB3|STMN1|PAK3|PAX2|PKHD1|PLS1|PTPRO|SOD1|STC1|WNT7A|BTBD3|DKK1|PALLD|CYFIP1|TMEFF2|WDPCP|ATL1|SEMA3G|POF1B|MFSD2A|COL22A1|LAMA1,-3,MyList
GO Biological Processes,19,GO:0046618,xenobiotic export,19_GO:0051179 localization,-5,16,8.4,30211,14,680,5,0.74,0.33,540|5174|6565|6584|55244,ATP7B|PDZK1|SLC15A2|SLC22A5|SLC47A1,-3,MyList
GO Biological Processes,19,GO:0003073,regulation of systemic arterial blood pressure,19_GO:0032501 multicellular organismal process,-5,5.1,6.1,30211,95,680,11,1.6,0.48,40|134|1813|1906|1910|2149|2150|5144|5800|65125|170690,ASIC2|ADORA1|DRD2|EDN1|EDNRB|F2R|F2RL1|PDE4D|PTPRO|WNK1|ADAMTS16,-2.9,MyList
GO Biological Processes,19,GO:0032757,positive regulation of interleukin-8 production,19_GO:0048518 positive regulation of biological process,-5,6.4,6.5,30211,62,680,9,1.3,0.44,929|972|2149|2150|3929|7099|7100|8915|84632,CD14|CD74|F2R|F2RL1|LBP|TLR4|TLR5|BCL10|AFAP1L2,-2.9,MyList
GO Biological Processes,19,GO:0043086,negative regulation of catalytic activity,19_GO:0065007 biological regulation,-5,2.1,4.9,30211,786,680,38,5.6,0.88,306|1813|1910|2660|3053|3698|3827|5055|5076|5265|5268|5269|5270|5274|5276|5291|5575|5635|5800|6272|6423|6447|7035|7057|7429|7453|9021|9052|10406|10788|11153|51291|54206|57718|65125|84651|144568|153769,ANXA3|DRD2|EDNRB|MSTN|SERPIND1|ITIH2|KNG1|SERPINB2|PAX2|SERPINA1|SERPINB5|SERPINB6|SERPINE2|SERPINI1|SERPINI2|PIK3CB|PRKAR1B|PRPSAP1|PTPRO|SORT1|SFRP2|SCG5|TFPI|THBS1|VIL1|WARS1|SOCS3|GPRC5A|WFDC2|IQGAP2|FICD|GMIP|ERRFI1|PPP4R4|WNK1|SPINK7|A2ML1|SH3RF2,-2.9,MyList
GO Biological Processes,19,GO:0060322,head development,19_GO:0032502 developmental process,-5,2.1,4.9,30211,787,680,38,5.6,0.88,18|306|664|1272|1813|2009|2539|3625|3736|4036|4129|5076|5270|5793|6299|6513|6751|6867|7476|9693|22903|22941|22943|22983|23054|23224|23236|23705|28982|54407|55681|79625|80055|80714|84879|146760|284403|285025,ABAT|ANXA3|BNIP3|CNTN1|DRD2|EML1|G6PD|INHBB|KCNA1|LRP2|MAOB|PAX2|SERPINE2|PTPRG|SALL1|SLC2A1|SSTR1|TACC1|WNT7A|RAPGEF2|BTBD3|SHANK2|DKK1|MAST1|NCOA6|SYNE2|PLCB1|CADM1|FLVCR1|SLC38A2|SCYL2|NDNF|PGAP1|PBX4|MFSD2A|RTN4RL1|WDR62|CCDC141,-2.9,MyList
GO Biological Processes,19,GO:0001885,endothelial cell development,19_GO:0032502 developmental process,-5,7.4,6.7,30211,48,680,8,1.2,0.41,1910|2150|5144|6781|9076|9693|153562|169044,EDNRB|F2RL1|PDE4D|STC1|CLDN1|RAPGEF2|MARVELD2|COL22A1,-2.9,MyList
GO Biological Processes,19,GO:0048167,regulation of synaptic plasticity,19_GO:0023052 signaling,-5,3.6,5.6,30211,197,680,16,2.4,0.58,134|1813|2890|4311|4355|5270|9693|9699|22941|22999|23154|26037|57537|81832|152404|440279,ADORA1|DRD2|GRIA1|MME|MPP2|SERPINE2|RAPGEF2|RIMS2|SHANK2|RIMS1|NCDN|SIPA1L1|SORCS2|NETO1|IGSF11|UNC13C,-2.9,MyList
GO Biological Processes,19,GO:1901184,regulation of ERBB signaling pathway,19_GO:0023052 signaling,-5,5.6,6.2,30211,79,680,10,1.5,0.46,134|1012|1839|2852|5774|7039|9052|27131|54206|84632,ADORA1|CDH13|HBEGF|GPER1|PTPN3|TGFA|GPRC5A|SNX5|ERRFI1|AFAP1L2,-2.9,MyList
GO Biological Processes,19,GO:0045785,positive regulation of cell adhesion,19_GO:0022610 biological adhesion,-4.9,2.6,5.1,30211,446,680,26,3.8,0.74,972|1012|1435|1948|2039|2199|2651|3108|4739|4860|5578|6239|6251|6385|6423|8915|10164|10451|10673|51144|55612|55626|79625|79679|80005|84978,CD74|CDH13|CSF1|EFNB2|DMTN|FBLN2|GCNT2|HLA-DMA|NEDD9|PNP|PRKCA|RREB1|RSU1|SDC4|SFRP2|BCL10|CHST4|VAV3|TNFSF13B|HSD17B12|FERMT1|AMBRA1|NDNF|VTCN1|DOCK5|FRMD5,-2.9,MyList
GO Biological Processes,19,GO:0044062,regulation of excretion,19_GO:0051179 localization,-4.9,11,7.5,30211,24,680,6,0.88,0.36,134|1813|1906|1910|6781|27131,ADORA1|DRD2|EDN1|EDNRB|STC1|SNX5,-2.9,MyList
GO Biological Processes,19,GO:0043406,positive regulation of MAP kinase activity,19_GO:0023052 signaling,-4.9,4.6,5.9,30211,116,680,12,1.8,0.5,1906|2321|4217|5027|5154|7039|7057|7099|10178|10595|22943|80310,EDN1|FLT1|MAP3K5|P2RX7|PDGFA|TGFA|THBS1|TLR4|TENM1|ERN2|DKK1|PDGFD,-2.9,MyList
GO Biological Processes,19,GO:0050819,negative regulation of coagulation,19_GO:0048519 negative regulation of biological process,-4.9,7.3,6.6,30211,49,680,8,1.2,0.41,18|928|1906|3827|5055|5154|5270|7035,ABAT|CD9|EDN1|KNG1|SERPINB2|PDGFA|SERPINE2|TFPI,-2.9,MyList
GO Biological Processes,19,GO:0007605,sensory perception of sound,19_GO:0032501 multicellular organismal process,-4.9,4,5.7,30211,156,680,14,2.1,0.54,40|2070|4036|5269|6647|8556|9750|54532|80055|84899|140469|153562|259236|375611,ASIC2|EYA4|LRP2|SERPINB6|SOD1|CDC14A|RIPOR2|USP53|PGAP1|TMTC4|MYO3B|MARVELD2|TMIE|SLC26A5,-2.9,MyList
Reactome Gene Sets,6,R-HSA-372790,Signaling by GPCR,,-4.9,2.2,4.9,30211,704,680,35,5.1,0.85,134|747|1606|1608|1813|1839|1880|1906|1910|2149|2150|2151|2852|2863|3827|4828|5144|5321|5575|5578|5732|6751|6870|7433|7476|7504|9170|10267|10316|10451|10768|23229|23236|60675|170589,ADORA1|DAGLA|DGKA|DGKG|DRD2|HBEGF|GPR183|EDN1|EDNRB|F2R|F2RL1|F2RL2|GPER1|GPR39|KNG1|NMB|PDE4D|PLA2G4A|PRKAR1B|PRKCA|PTGER2|SSTR1|TACR3|VIPR1|WNT7A|XK|LPAR2|RAMP1|NMUR1|VAV3|AHCYL1|ARHGEF9|PLCB1|PROK2|GPHA2,-2.9,MyList
GO Biological Processes,19,GO:0048589,developmental growth,19_GO:0040007 growth,-4.9,2.8,5.2,30211,369,680,23,3.4,0.69,214|928|1435|1906|2660|3484|4814|6299|6423|6668|6781|7006|7294|7476|8837|9863|10404|23191|28982|57167|130399|157506|205428,ALCAM|CD9|CSF1|EDN1|MSTN|IGFBP1|NINJ1|SALL1|SFRP2|SP2|STC1|TEC|TXK|WNT7A|CFLAR|MAGI2|CPQ|CYFIP1|FLVCR1|SALL4|ACVR1C|RDH10|DIPK2A,-2.9,MyList
GO Biological Processes,19,GO:0045229,external encapsulating structure organization,19_GO:0009987 cellular process,-4.9,3.1,5.3,30211,269,680,19,2.8,0.63,1999|2199|3038|3914|4321|4324|5268|6423|7051|10549|11174|51144|54507|55612|79625|169044|170690|171019|255631,ELF3|FBLN2|HAS3|LAMB3|MMP12|MMP15|SERPINB5|SFRP2|TGM1|PRDX4|ADAMTS6|HSD17B12|ADAMTSL4|FERMT1|NDNF|COL22A1|ADAMTS16|ADAMTS19|COL24A1,-2.9,MyList
GO Biological Processes,19,GO:1905039,carboxylic acid transmembrane transport,19_GO:0051179 localization,-4.9,4.2,5.8,30211,136,680,13,1.9,0.53,4036|6509|6513|6520|6533|6536|6545|8884|9123|11136|54407|55244|284111,LRP2|SLC1A4|SLC2A1|SLC3A2|SLC6A6|SLC6A9|SLC7A4|SLC5A6|SLC16A3|SLC7A9|SLC38A2|SLC47A1|SLC13A5,-2.9,MyList
KEGG Pathway,24,hsa00564,Glycerophospholipid metabolism,,-4.9,5,6,30211,98,680,11,1.6,0.48,1040|1606|1608|5321|9663|23171|64850|129642|162466|253558|254531,CDS1|DGKA|DGKG|PLA2G4A|LPIN2|GPD1L|ETNPPL|MBOAT2|PHOSPHO1|LCLAT1|LPCAT4,-2.9,MyList
KEGG Pathway,24,hsa05231,Choline metabolism in cancer,,-4.9,5,6,30211,98,680,11,1.6,0.48,1606|1608|5154|5291|5321|5578|6009|6584|8395|80310|80736,DGKA|DGKG|PDGFA|PIK3CB|PLA2G4A|PRKCA|RHEB|SLC22A5|PIP5K1B|PDGFD|SLC44A4,-2.9,MyList
GO Biological Processes,19,GO:0035850,epithelial cell differentiation involved in kidney development,19_GO:0032502 developmental process,-4.9,8.6,7,30211,36,680,7,1,0.39,182|1910|5076|5800|6299|8842|9863,JAG1|EDNRB|PAX2|PTPRO|SALL1|PROM1|MAGI2,-2.8,MyList
WikiPathways,27,WP4172,PI3K-Akt signaling pathway,,-4.9,2.8,5.2,30211,345,680,22,3.2,0.68,598|1435|1942|2149|2321|3691|3693|3694|3914|5154|5291|5578|6009|7039|7057|7099|7184|8515|9170|80310|148327|284217,BCL2L1|CSF1|EFNA1|F2R|FLT1|ITGB4|ITGB5|ITGB6|LAMB3|PDGFA|PIK3CB|PRKCA|RHEB|TGFA|THBS1|TLR4|HSP90B1|ITGA10|LPAR2|PDGFD|CREB3L4|LAMA1,-2.8,MyList
GO Biological Processes,19,GO:0040007,growth,19_GO:0040007 growth,-4.9,2.8,5.2,30211,371,680,23,3.4,0.69,214|928|1435|1906|2660|3484|4814|6299|6423|6668|6781|7006|7294|7476|8837|9863|10404|23191|28982|57167|130399|157506|205428,ALCAM|CD9|CSF1|EDN1|MSTN|IGFBP1|NINJ1|SALL1|SFRP2|SP2|STC1|TEC|TXK|WNT7A|CFLAR|MAGI2|CPQ|CYFIP1|FLVCR1|SALL4|ACVR1C|RDH10|DIPK2A,-2.8,MyList
GO Biological Processes,19,GO:0051346,negative regulation of hydrolase activity,19_GO:0065007 biological regulation,-4.9,2.8,5.2,30211,371,680,23,3.4,0.69,3053|3698|3827|5055|5076|5265|5268|5269|5270|5274|5276|6272|6423|7035|7057|7429|10406|11153|51291|57718|65125|84651|144568,SERPIND1|ITIH2|KNG1|SERPINB2|PAX2|SERPINA1|SERPINB5|SERPINB6|SERPINE2|SERPINI1|SERPINI2|SORT1|SFRP2|TFPI|THBS1|VIL1|WFDC2|FICD|GMIP|PPP4R4|WNK1|SPINK7|A2ML1,-2.8,MyList
GO Biological Processes,19,GO:1903825,organic acid transmembrane transport,19_GO:0051179 localization,-4.9,4.2,5.7,30211,137,680,13,1.9,0.53,4036|6509|6513|6520|6533|6536|6545|8884|9123|11136|54407|55244|284111,LRP2|SLC1A4|SLC2A1|SLC3A2|SLC6A6|SLC6A9|SLC7A4|SLC5A6|SLC16A3|SLC7A9|SLC38A2|SLC47A1|SLC13A5,-2.8,MyList
GO Biological Processes,19,GO:0009612,response to mechanical stimulus,19_GO:0050896 response to stimulus,-4.8,3.5,5.5,30211,201,680,16,2.4,0.58,40|664|1813|1906|3736|5027|5270|5493|6513|7057|7099|7100|8915|54407|54532|375611,ASIC2|BNIP3|DRD2|EDN1|KCNA1|P2RX7|SERPINE2|PPL|SLC2A1|THBS1|TLR4|TLR5|BCL10|SLC38A2|USP53|SLC26A5,-2.8,MyList
GO Biological Processes,19,GO:0045017,glycerolipid biosynthetic process,19_GO:0008152 metabolic process,-4.8,3.4,5.4,30211,224,680,17,2.5,0.6,1040|1606|1608|3628|5283|5291|5321|8395|9021|9663|51604|80055|80157|80736|84879|253558|254531,CDS1|DGKA|DGKG|INPP1|PIGH|PIK3CB|PLA2G4A|PIP5K1B|SOCS3|LPIN2|PIGT|PGAP1|CWH43|SLC44A4|MFSD2A|LCLAT1|LPCAT4,-2.8,MyList
GO Biological Processes,19,GO:0016054,organic acid catabolic process,19_GO:0008152 metabolic process,-4.8,3.4,5.4,30211,224,680,17,2.5,0.6,18|1592|1610|2639|2744|5467|7263|8309|8659|9663|23564|54677|56922|64087|169355|197257|390916,ABAT|CYP26A1|DAO|GCDH|GLS|PPARD|TST|ACOX2|ALDH4A1|LPIN2|DDAH2|CROT|MCCC1|MCCC2|IDO2|LDHD|NUDT19,-2.8,MyList
GO Biological Processes,19,GO:0048545,response to steroid hormone,19_GO:0050896 response to stimulus,-4.8,3.1,5.3,30211,272,680,19,2.8,0.63,306|445|476|1906|2660|2852|4129|4824|5467|5732|6382|6781|7035|7057|8837|9076|54206|85315|133522,ANXA3|ASS1|ATP1A1|EDN1|MSTN|GPER1|MAOB|NKX3-1|PPARD|PTGER2|SDC1|STC1|TFPI|THBS1|CFLAR|CLDN1|ERRFI1|PAQR8|PPARGC1B,-2.8,MyList
GO Biological Processes,19,GO:0006643,membrane lipid metabolic process,19_GO:0008152 metabolic process,-4.8,3.5,5.5,30211,202,680,16,2.4,0.58,2581|5027|5283|7368|8702|8706|9514|26301|51228|51604|53947|80055|80157|81537|166929|340485,GALC|P2RX7|PIGH|UGT8|B4GALT4|B3GALNT1|GAL3ST1|GBGT1|GLTP|PIGT|A4GALT|PGAP1|CWH43|SGPP1|SGMS2|ACER2,-2.8,MyList
KEGG Pathway,24,hsa00250,"Alanine, aspartate and glutamate metabolism",,-4.8,8.4,6.8,30211,37,680,7,1,0.39,18|445|790|2346|2744|8659|57494,ABAT|ASS1|CAD|FOLH1|GLS|ALDH4A1|RIMKLB,-2.8,MyList
GO Biological Processes,19,GO:0030162,regulation of proteolysis,19_GO:0008152 metabolic process,-4.8,2.2,4.8,30211,743,680,36,5.3,0.86,489|1942|2149|2852|2896|3053|3698|3827|4217|4824|5055|5076|5265|5268|5269|5270|5274|5276|5774|6423|7035|7057|7429|8837|8915|9992|10406|26471|51684|64065|84651|112399|130399|144568|153769|340485,ATP2A3|EFNA1|F2R|GPER1|GRN|SERPIND1|ITIH2|KNG1|MAP3K5|NKX3-1|SERPINB2|PAX2|SERPINA1|SERPINB5|SERPINB6|SERPINE2|SERPINI1|SERPINI2|PTPN3|SFRP2|TFPI|THBS1|VIL1|CFLAR|BCL10|KCNE2|WFDC2|NUPR1|SUFU|PERP|SPINK7|EGLN3|ACVR1C|A2ML1|SH3RF2|ACER2,-2.8,MyList
GO Biological Processes,19,GO:0051056,regulation of small GTPase mediated signal transduction,19_GO:0023052 signaling,-4.8,3,5.2,30211,299,680,20,2.9,0.65,392|1435|2149|2150|2151|3925|5291|8437|9750|10451|23108|23229|26037|51291|57221|64283|79822|84253|93663|201176,ARHGAP1|CSF1|F2R|F2RL1|F2RL2|STMN1|PIK3CB|RASAL1|RIPOR2|VAV3|RAP1GAP2|ARHGEF9|SIPA1L1|GMIP|ARFGEF3|ARHGEF28|ARHGAP28|GARNL3|ARHGAP18|ARHGAP27,-2.8,MyList
GO Biological Processes,19,GO:0046474,glycerophospholipid biosynthetic process,19_GO:0008152 metabolic process,-4.8,3.5,5.4,30211,204,680,16,2.4,0.58,1040|1606|1608|3628|5283|5291|5321|8395|9021|51604|80055|80157|80736|84879|253558|254531,CDS1|DGKA|DGKG|INPP1|PIGH|PIK3CB|PLA2G4A|PIP5K1B|SOCS3|PIGT|PGAP1|CWH43|SLC44A4|MFSD2A|LCLAT1|LPCAT4,-2.8,MyList
GO Biological Processes,19,GO:0098656,anion transmembrane transport,19_GO:0051179 localization,-4.8,3.3,5.3,30211,227,680,17,2.5,0.6,1080|4036|6509|6520|6536|8671|8884|9123|9213|55244|80736|84679|115111|203859|284111|340146|375611,CFTR|LRP2|SLC1A4|SLC3A2|SLC6A9|SLC4A4|SLC5A6|SLC16A3|XPR1|SLC47A1|SLC44A4|SLC9A7|SLC26A7|ANO5|SLC13A5|SLC35D3|SLC26A5,-2.8,MyList
