_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-4.9,GO:0045785,positive regulation of cell adhesion,M1,1,0
1,-2.5,GO:0051259,protein complex oligomerization,M1,1,0
1,-3.7,GO:0036438,maintenance of lens transparency,M1,1,0
1,-4,R-HSA-76002,"Platelet activation, signaling and aggregation",M1,1,0
1,-2.4,M255,PID HIF1 TFPATHWAY,M1,1,0
1,-2.6,GO:0014857,regulation of skeletal muscle cell proliferation,M1,1,0
1,-3.7,GO:1902743,regulation of lamellipodium organization,M1,1,0
1,-2.4,GO:0008277,regulation of G protein-coupled receptor signaling pathway,M1,1,0
1,-11,GO:0051272,positive regulation of cellular component movement,M1,1,0
1,-2.8,GO:0007422,peripheral nervous system development,M1,1,0
1,-3.3,GO:0042886,amide transport,M1,1,0
1,-2.3,GO:0034614,cellular response to reactive oxygen species,M1,1,0
1,-3.7,GO:2000463,positive regulation of excitatory postsynaptic potential,M1,1,0
1,-3.1,GO:0089718,amino acid import across plasma membrane,M1,1,0
1,-3.2,GO:0006681,galactosylceramide metabolic process,M1,1,0
1,-4.9,R-HSA-372790,Signaling by GPCR,M1,1,0
1,-5.1,GO:0071363,cellular response to growth factor stimulus,M1,1,0
1,-8.8,GO:0003018,vascular process in circulatory system,M1,1,0
1,-3.6,GO:0104004,cellular response to environmental stimulus,M1,1,0
1,-2.5,GO:0030832,regulation of actin filament length,M1,1,0
1,-2.3,GO:0003205,cardiac chamber development,M1,1,0
1,-3.7,GO:0007162,negative regulation of cell adhesion,M1,1,0
1,-5,GO:0046618,xenobiotic export,M1,1,0
1,-3.1,GO:0007218,neuropeptide signaling pathway,M1,1,0
1,-2.5,GO:0030856,regulation of epithelial cell differentiation,M1,1,0
1,-2.7,GO:0046835,carbohydrate phosphorylation,M1,1,0
1,-2.2,R-HSA-5602498,MyD88 deficiency (TLR2/4),M1,1,0
1,-4.2,GO:0043409,negative regulation of MAPK cascade,M1,1,0
1,-5.2,GO:0010975,regulation of neuron projection development,M1,1,0
1,-6.2,GO:0046486,glycerolipid metabolic process,M1,1,0
1,-2.3,R-HSA-5602358,Diseases associated with the TLR signaling cascade,M1,1,0
1,-2.2,GO:0001701,in utero embryonic development,M1,1,0
1,-2.3,GO:0072176,nephric duct development,M1,1,0
1,-5.1,GO:0070848,response to growth factor,M1,1,0
1,-2.3,hsa00520,Amino sugar and nucleotide sugar metabolism,M1,1,0
1,-3.1,GO:0030643,cellular phosphate ion homeostasis,M1,1,0
1,-3.2,GO:0043068,positive regulation of programmed cell death,M1,1,0
1,-2.4,hsa05145,Toxoplasmosis,M1,1,0
1,-2.7,GO:0050820,positive regulation of coagulation,M1,1,0
1,-8,GO:0015849,organic acid transport,M1,1,0
1,-4.1,GO:0061318,renal filtration cell differentiation,M1,1,0
1,-2,R-HSA-114608,Platelet degranulation,M1,1,0
1,-11,GO:0031344,regulation of cell projection organization,M1,1,0
1,-2.8,GO:0042330,taxis,M1,1,0
1,-2.3,GO:0071345,cellular response to cytokine stimulus,M1,1,0
1,-2.4,hsa00603,Glycosphingolipid biosynthesis - globo and isoglobo series,M1,1,0
1,-3,GO:0071559,response to transforming growth factor beta,M1,1,0
1,-2.4,GO:0001843,neural tube closure,M1,1,0
1,-2.7,GO:0030148,sphingolipid biosynthetic process,M1,1,0
1,-2.7,GO:0090023,positive regulation of neutrophil chemotaxis,M1,1,0
1,-5.4,GO:0031346,positive regulation of cell projection organization,M1,1,0
1,-5.8,hsa04015,Rap1 signaling pathway,M1,1,0
1,-5.7,GO:0034329,cell junction assembly,M1,1,0
1,-2.7,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,M1,1,0
1,-3.6,GO:0030111,regulation of Wnt signaling pathway,M1,1,0
1,-4.6,GO:0046683,response to organophosphorus,M1,1,0
1,-5.7,GO:0050804,modulation of chemical synaptic transmission,M1,1,0
1,-6.3,GO:0150104,transport across blood-brain barrier,M1,1,0
1,-12,GO:0055080,cation homeostasis,M1,1,0
1,-2,GO:0061572,actin filament bundle organization,M1,1,0
1,-5.4,GO:0001952,regulation of cell-matrix adhesion,M1,1,0
1,-5.7,GO:0071622,regulation of granulocyte chemotaxis,M1,1,0
1,-2.7,GO:1905521,regulation of macrophage migration,M1,1,0
1,-2.6,GO:0070839,metal ion export,M1,1,0
1,-3.6,GO:2000116,regulation of cysteine-type endopeptidase activity,M1,1,0
1,-3.4,GO:0015838,amino-acid betaine transport,M1,1,0
1,-2.1,GO:0032026,response to magnesium ion,M1,1,0
1,-2.4,hsa05417,Lipid and atherosclerosis,M1,1,0
1,-8,R-HSA-109582,Hemostasis,M1,1,0
1,-2.3,GO:0043403,skeletal muscle tissue regeneration,M1,1,0
1,-2.2,GO:0042326,negative regulation of phosphorylation,M1,1,0
1,-2.2,GO:0015718,monocarboxylic acid transport,M1,1,0
1,-2.4,GO:0010453,regulation of cell fate commitment,M1,1,0
1,-3.2,hsa04610,Complement and coagulation cascades,M1,1,0
1,-5.2,R-HSA-556833,Metabolism of lipids,M1,1,0
1,-4.2,GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,M1,1,0
1,-2.3,R-HSA-397014,Muscle contraction,M1,1,0
1,-2.1,GO:0097435,supramolecular fiber organization,M1,1,0
1,-6,GO:0008217,regulation of blood pressure,M1,1,0
1,-2.1,R-HSA-936964,Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon,M1,1,0
1,-2.3,GO:2001238,positive regulation of extrinsic apoptotic signaling pathway,M1,1,0
1,-2.4,GO:0043032,positive regulation of macrophage activation,M1,1,0
1,-2.4,GO:0030307,positive regulation of cell growth,M1,1,0
1,-2.4,GO:1900076,regulation of cellular response to insulin stimulus,M1,1,0
1,-2.7,GO:0032966,negative regulation of collagen biosynthetic process,M1,1,0
1,-2.5,GO:0062208,positive regulation of pattern recognition receptor signaling pathway,M1,1,0
1,-3,GO:0060828,regulation of canonical Wnt signaling pathway,M1,1,0
1,-2.9,GO:0071385,cellular response to glucocorticoid stimulus,M1,1,0
1,-3.8,GO:0009117,nucleotide metabolic process,M1,1,0
1,-3.5,GO:0051480,regulation of cytosolic calcium ion concentration,M1,1,0
1,-2.8,GO:0022407,regulation of cell-cell adhesion,M1,1,0
1,-2.9,GO:0070391,response to lipoteichoic acid,M1,1,0
1,-2.9,GO:0007265,Ras protein signal transduction,M1,1,0
1,-2,GO:0009165,nucleotide biosynthetic process,M1,1,0
1,-4.7,GO:0046467,membrane lipid biosynthetic process,M1,1,0
1,-3.3,GO:0010665,regulation of cardiac muscle cell apoptotic process,M1,1,0
1,-3.7,GO:0022604,regulation of cell morphogenesis,M1,1,0
1,-2,GO:0042053,regulation of dopamine metabolic process,M1,1,0
1,-3.5,GO:0070085,glycosylation,M1,1,0
1,-2.7,WP4754,IL-18 signaling pathway,M1,1,0
1,-4.4,R-HSA-2672351,Stimuli-sensing channels,M1,1,0
1,-2.2,GO:0061564,axon development,M1,1,0
1,-2.6,GO:0035810,positive regulation of urine volume,M1,1,0
1,-2.3,R-HSA-975163,IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation,M1,1,0
1,-7.6,GO:0006814,sodium ion transport,M1,1,0
1,-4.6,GO:0120034,positive regulation of plasma membrane bounded cell projection assembly,M1,1,0
1,-3.2,R-HSA-6798695,Neutrophil degranulation,M1,1,0
1,-7.4,GO:0006874,cellular calcium ion homeostasis,M1,1,0
1,-3.9,GO:0009410,response to xenobiotic stimulus,M1,1,0
1,-3.6,GO:0046661,male sex differentiation,M1,1,0
1,-3.3,GO:0060070,canonical Wnt signaling pathway,M1,1,0
1,-3.8,GO:0032536,regulation of cell projection size,M1,1,0
1,-3.1,GO:0006898,receptor-mediated endocytosis,M1,1,0
1,-2.6,GO:0046718,viral entry into host cell,M1,1,0
1,-2.5,GO:0045995,regulation of embryonic development,M1,1,0
1,-2.5,GO:0032306,regulation of prostaglandin secretion,M1,1,0
1,-2.9,GO:0031663,lipopolysaccharide-mediated signaling pathway,M1,1,0
1,-2.9,GO:0035637,multicellular organismal signaling,M1,1,0
1,-5.9,GO:0071396,cellular response to lipid,M1,1,0
1,-3.2,GO:0045682,regulation of epidermis development,M1,1,0
1,-2.4,WP4534,Mechanoregulation and pathology of YAP/TAZ via Hippo and non-Hippo mechanisms,M1,1,0
1,-9.8,GO:0030335,positive regulation of cell migration,M1,1,0
1,-2.4,R-HSA-1474290,Collagen formation,M1,1,0
1,-2.6,R-HSA-112316,Neuronal System,M1,1,0
1,-4.3,GO:0007599,hemostasis,M1,1,0
1,-7.7,GO:0051347,positive regulation of transferase activity,M1,1,0
1,-3.1,GO:0120039,plasma membrane bounded cell projection morphogenesis,M1,1,0
1,-2.4,hsa05410,Hypertrophic cardiomyopathy,M1,1,0
1,-6.1,WP306,Focal adhesion,M1,1,0
1,-4.4,GO:0120032,regulation of plasma membrane bounded cell projection assembly,M1,1,0
1,-5.1,GO:1900047,negative regulation of hemostasis,M1,1,0
1,-2.9,GO:0008406,gonad development,M1,1,0
1,-2,GO:0046627,negative regulation of insulin receptor signaling pathway,M1,1,0
1,-3.1,GO:0034142,toll-like receptor 4 signaling pathway,M1,1,0
1,-3,GO:1904427,positive regulation of calcium ion transmembrane transport,M1,1,0
1,-2.1,GO:0001841,neural tube formation,M1,1,0
1,-3.1,GO:0010544,negative regulation of platelet activation,M1,1,0
1,-2.9,GO:0010766,negative regulation of sodium ion transport,M1,1,0
1,-3.5,GO:0006865,amino acid transport,M1,1,0
1,-5.9,GO:0048608,reproductive structure development,M1,1,0
1,-4.5,GO:2000027,regulation of animal organ morphogenesis,M1,1,0
1,-2.7,GO:0090331,negative regulation of platelet aggregation,M1,1,0
1,-4.6,GO:0009247,glycolipid biosynthetic process,M1,1,0
1,-2.5,GO:0060760,positive regulation of response to cytokine stimulus,M1,1,0
1,-3.6,WP2272,Pathogenic Escherichia coli infection,M1,1,0
1,-2.1,GO:0072202,cell differentiation involved in metanephros development,M1,1,0
1,-2.5,GO:0009116,nucleoside metabolic process,M1,1,0
1,-2.9,hsa04010,MAPK signaling pathway,M1,1,0
1,-2.3,GO:0042445,hormone metabolic process,M1,1,0
1,-2.4,hsa04915,Estrogen signaling pathway,M1,1,0
1,-3.5,GO:0051898,negative regulation of protein kinase B signaling,M1,1,0
1,-7.9,GO:0042391,regulation of membrane potential,M1,1,0
1,-5.3,GO:0050807,regulation of synapse organization,M1,1,0
1,-8.6,GO:0030193,regulation of blood coagulation,M1,1,0
1,-2.5,GO:2001235,positive regulation of apoptotic signaling pathway,M1,1,0
1,-4.7,GO:0071902,positive regulation of protein serine/threonine kinase activity,M1,1,0
1,-5.5,hsa04510,Focal adhesion,M1,1,0
1,-3.6,GO:0007229,integrin-mediated signaling pathway,M1,1,0
1,-3.7,WP3925,Amino acid metabolism,M1,1,0
1,-2.1,GO:0019226,transmission of nerve impulse,M1,1,0
1,-3.2,GO:0042542,response to hydrogen peroxide,M1,1,0
1,-4.4,GO:0043062,extracellular structure organization,M1,1,0
1,-2.8,GO:0099003,vesicle-mediated transport in synapse,M1,1,0
1,-2,GO:0018208,peptidyl-proline modification,M1,1,0
1,-5.4,GO:0140115,export across plasma membrane,M1,1,0
1,-2.5,GO:0006767,water-soluble vitamin metabolic process,M1,1,0
1,-4.1,GO:0061138,morphogenesis of a branching epithelium,M1,1,0
1,-10,GO:0120035,regulation of plasma membrane bounded cell projection organization,M1,1,0
1,-5.7,GO:0006940,regulation of smooth muscle contraction,M1,1,0
1,-2.3,GO:0051924,regulation of calcium ion transport,M1,1,0
1,-5.2,R-HSA-3000171,Non-integrin membrane-ECM interactions,M1,1,0
1,-9.7,GO:0072001,renal system development,M1,1,0
1,-2,GO:0031998,regulation of fatty acid beta-oxidation,M1,1,0
1,-2.2,GO:0090596,sensory organ morphogenesis,M1,1,0
1,-2.4,M239,PID A6B1 A6B4 INTEGRIN PATHWAY,M1,1,0
1,-2.8,R-HSA-140877,Formation of Fibrin Clot (Clotting Cascade),M1,1,0
1,-4.3,GO:0048732,gland development,M1,1,0
1,-2.6,GO:0002833,positive regulation of response to biotic stimulus,M1,1,0
1,-2.7,GO:0050891,multicellular organismal water homeostasis,M1,1,0
1,-4,GO:0098609,cell-cell adhesion,M1,1,0
1,-3.3,GO:0048639,positive regulation of developmental growth,M1,1,0
1,-2.7,GO:0045604,regulation of epidermal cell differentiation,M1,1,0
1,-3.8,GO:0070374,positive regulation of ERK1 and ERK2 cascade,M1,1,0
1,-3.9,GO:0015698,inorganic anion transport,M1,1,0
1,-2.6,GO:0014075,response to amine,M1,1,0
1,-2.4,GO:0009395,phospholipid catabolic process,M1,1,0
1,-5.6,GO:0031667,response to nutrient levels,M1,1,0
1,-3,GO:1905114,cell surface receptor signaling pathway involved in cell-cell signaling,M1,1,0
1,-4.3,GO:0048754,branching morphogenesis of an epithelial tube,M1,1,0
1,-2,GO:0043586,tongue development,M1,1,0
1,-2.4,hsa04930,Type II diabetes mellitus,M1,1,0
1,-4,GO:0051271,negative regulation of cellular component movement,M1,1,0
1,-2.5,hsa00601,Glycosphingolipid biosynthesis - lacto and neolacto series,M1,1,0
1,-4.4,GO:0032496,response to lipopolysaccharide,M1,1,0
1,-3.4,GO:0090330,regulation of platelet aggregation,M1,1,0
1,-2.3,GO:0048013,ephrin receptor signaling pathway,M1,1,0
1,-2.5,GO:0009063,cellular amino acid catabolic process,M1,1,0
1,-3,hsa00330,Arginine and proline metabolism,M1,1,0
1,-4.1,GO:0015695,organic cation transport,M1,1,0
1,-4.1,R-HSA-373076,Class A/1 (Rhodopsin-like receptors),M1,1,0
1,-6.4,GO:0034764,positive regulation of transmembrane transport,M1,1,0
1,-4.1,GO:0001656,metanephros development,M1,1,0
1,-4.4,GO:0007272,ensheathment of neurons,M1,1,0
1,-5.2,GO:1904064,positive regulation of cation transmembrane transport,M1,1,0
1,-4.6,GO:0043588,skin development,M1,1,0
1,-2,GO:0032963,collagen metabolic process,M1,1,0
1,-6.7,GO:0034767,positive regulation of ion transmembrane transport,M1,1,0
1,-2.2,GO:2000191,regulation of fatty acid transport,M1,1,0
1,-2.7,GO:0042472,inner ear morphogenesis,M1,1,0
1,-6.1,GO:0008654,phospholipid biosynthetic process,M1,1,0
1,-8.1,GO:0090407,organophosphate biosynthetic process,M1,1,0
1,-7.1,GO:0045216,cell-cell junction organization,M1,1,0
1,-7.6,GO:0051051,negative regulation of transport,M1,1,0
1,-3.6,GO:0070482,response to oxygen levels,M1,1,0
1,-4.1,GO:0003382,epithelial cell morphogenesis,M1,1,0
1,-4.6,R-HSA-3000170,Syndecan interactions,M1,1,0
1,-3.1,WP4018,Clear cell renal cell carcinoma pathways,M1,1,0
1,-2.6,R-HSA-1483213,Synthesis of PE,M1,1,0
1,-2.3,GO:0034311,diol metabolic process,M1,1,0
1,-2.8,GO:0060113,inner ear receptor cell differentiation,M1,1,0
1,-3.9,GO:1902745,positive regulation of lamellipodium organization,M1,1,0
1,-3.4,GO:1901136,carbohydrate derivative catabolic process,M1,1,0
1,-2.4,GO:0006677,glycosylceramide metabolic process,M1,1,0
1,-2.7,GO:0051223,regulation of protein transport,M1,1,0
1,-2.4,GO:0019511,peptidyl-proline hydroxylation,M1,1,0
1,-4.2,GO:0035813,regulation of renal sodium excretion,M1,1,0
1,-3.8,GO:0046434,organophosphate catabolic process,M1,1,0
1,-3.5,GO:0001977,renal system process involved in regulation of blood volume,M1,1,0
1,-9,GO:0033674,positive regulation of kinase activity,M1,1,0
1,-4.4,GO:0061061,muscle structure development,M1,1,0
1,-2.7,GO:0099643,signal release from synapse,M1,1,0
1,-2.3,WP4971,Phosphoinositides metabolism,M1,1,0
1,-6.2,GO:0098657,import into cell,M1,1,0
1,-2.6,GO:0034143,regulation of toll-like receptor 4 signaling pathway,M1,1,0
1,-2.8,GO:0034145,positive regulation of toll-like receptor 4 signaling pathway,M1,1,0
1,-3.6,GO:0001819,positive regulation of cytokine production,M1,1,0
1,-2.3,GO:0030326,embryonic limb morphogenesis,M1,1,0
1,-2.2,GO:0007519,skeletal muscle tissue development,M1,1,0
1,-3.2,GO:0050708,regulation of protein secretion,M1,1,0
1,-2.7,GO:0010469,regulation of signaling receptor activity,M1,1,0
1,-2.7,GO:1904350,regulation of protein catabolic process in the vacuole,M1,1,0
1,-2.8,GO:0055081,anion homeostasis,M1,1,0
1,-3.8,hsa05230,Central carbon metabolism in cancer,M1,1,0
1,-4.3,GO:0001666,response to hypoxia,M1,1,0
1,-3.5,GO:0035904,aorta development,M1,1,0
1,-5.1,GO:0045446,endothelial cell differentiation,M1,1,0
1,-2.2,GO:0033875,ribonucleoside bisphosphate metabolic process,M1,1,0
1,-2.1,GO:0006882,cellular zinc ion homeostasis,M1,1,0
1,-3.2,GO:2000378,negative regulation of reactive oxygen species metabolic process,M1,1,0
1,-3.2,GO:2000106,regulation of leukocyte apoptotic process,M1,1,0
1,-2.7,GO:0014842,regulation of skeletal muscle satellite cell proliferation,M1,1,0
1,-3.4,GO:0046888,negative regulation of hormone secretion,M1,1,0
1,-3.3,hsa04974,Protein digestion and absorption,M1,1,0
1,-3.7,GO:0048791,calcium ion-regulated exocytosis of neurotransmitter,M1,1,0
1,-2.2,GO:0140056,organelle localization by membrane tethering,M1,1,0
1,-4.8,GO:0051056,regulation of small GTPase mediated signal transduction,M1,1,0
1,-4,GO:0006972,hyperosmotic response,M1,1,0
1,-2.6,GO:0009259,ribonucleotide metabolic process,M1,1,0
1,-2.2,GO:0048534,hematopoietic or lymphoid organ development,M1,1,0
1,-3,GO:0009064,glutamine family amino acid metabolic process,M1,1,0
1,-3.2,GO:0044283,small molecule biosynthetic process,M1,1,0
1,-2.5,GO:0090504,epiboly,M1,1,0
1,-2.5,GO:0003015,heart process,M1,1,0
1,-3.4,GO:0000052,citrulline metabolic process,M1,1,0
1,-4.6,WP3932,Focal adhesion: PI3K-Akt-mTOR-signaling pathway,M1,1,0
1,-2.2,WP1946,Cori cycle,M1,1,0
1,-2.1,GO:0006044,N-acetylglucosamine metabolic process,M1,1,0
1,-2.3,hsa05017,Spinocerebellar ataxia,M1,1,0
1,-2.6,GO:0072164,mesonephric tubule development,M1,1,0
1,-2.4,GO:0006835,dicarboxylic acid transport,M1,1,0
1,-2.1,GO:0051493,regulation of cytoskeleton organization,M1,1,0
1,-5.9,GO:0009991,response to extracellular stimulus,M1,1,0
1,-2.1,hsa04972,Pancreatic secretion,M1,1,0
1,-2.2,GO:0015909,long-chain fatty acid transport,M1,1,0
1,-10,GO:0002064,epithelial cell development,M1,1,0
1,-2.3,R-HSA-3781865,Diseases of glycosylation,M1,1,0
1,-4.5,GO:1903035,negative regulation of response to wounding,M1,1,0
1,-2.7,GO:2001233,regulation of apoptotic signaling pathway,M1,1,0
1,-2.3,GO:2000095,"regulation of Wnt signaling pathway, planar cell polarity pathway",M1,1,0
1,-3.7,GO:0098754,detoxification,M1,1,0
1,-8.5,GO:0001934,positive regulation of protein phosphorylation,M1,1,0
1,-2.4,GO:0045600,positive regulation of fat cell differentiation,M1,1,0
1,-3.1,GO:0006665,sphingolipid metabolic process,M1,1,0
1,-2.4,R-HSA-1660662,Glycosphingolipid metabolism,M1,1,0
1,-5.3,WP1424,Globo sphingolipid metabolism,M1,1,0
1,-2.1,GO:0051453,regulation of intracellular pH,M1,1,0
1,-3.8,hsa04024,cAMP signaling pathway,M1,1,0
1,-4.2,GO:0045933,positive regulation of muscle contraction,M1,1,0
1,-3.1,GO:0051930,regulation of sensory perception of pain,M1,1,0
1,-3.2,R-HSA-9012999,RHO GTPase cycle,M1,1,0
1,-7.8,R-HSA-425407,SLC-mediated transmembrane transport,M1,1,0
1,-3.4,GO:1903531,negative regulation of secretion by cell,M1,1,0
1,-2.5,GO:0010460,positive regulation of heart rate,M1,1,0
1,-2,GO:1902074,response to salt,M1,1,0
1,-4.9,GO:1903825,organic acid transmembrane transport,M1,1,0
1,-2.1,R-HSA-442660,Na+/Cl- dependent neurotransmitter transporters,M1,1,0
1,-3.4,GO:0070633,transepithelial transport,M1,1,0
1,-2.7,GO:0043090,amino acid import,M1,1,0
1,-7,GO:0010543,regulation of platelet activation,M1,1,0
1,-2.1,GO:0072080,nephron tubule development,M1,1,0
1,-2.4,GO:0051235,maintenance of location,M1,1,0
1,-3.5,GO:0071548,response to dexamethasone,M1,1,0
1,-2.4,GO:1904424,regulation of GTP binding,M1,1,0
1,-2.2,GO:0032956,regulation of actin cytoskeleton organization,M1,1,0
1,-11,GO:0030003,cellular cation homeostasis,M1,1,0
1,-5.1,GO:0001763,morphogenesis of a branching structure,M1,1,0
1,-2.1,hsa01521,EGFR tyrosine kinase inhibitor resistance,M1,1,0
1,-3.4,GO:0035296,regulation of tube diameter,M1,1,0
1,-2.9,GO:0043009,chordate embryonic development,M1,1,0
1,-2,GO:0046777,protein autophosphorylation,M1,1,0
1,-2.9,GO:0034763,negative regulation of transmembrane transport,M1,1,0
1,-6.3,R-HSA-425366,"Transport of bile salts and organic acids, metal ions and amine compounds",M1,1,0
1,-2.2,GO:0034308,primary alcohol metabolic process,M1,1,0
1,-9.6,GO:0098655,cation transmembrane transport,M1,1,0
1,-3.1,GO:0051931,regulation of sensory perception,M1,1,0
1,-3.3,hsa04080,Neuroactive ligand-receptor interaction,M1,1,0
1,-3.2,GO:0070302,regulation of stress-activated protein kinase signaling cascade,M1,1,0
1,-4.7,GO:0032989,cellular component morphogenesis,M1,1,0
1,-2.8,GO:1900077,negative regulation of cellular response to insulin stimulus,M1,1,0
1,-2.6,GO:0003231,cardiac ventricle development,M1,1,0
1,-2.7,GO:0009755,hormone-mediated signaling pathway,M1,1,0
1,-4.9,hsa00564,Glycerophospholipid metabolism,M1,1,0
1,-2,hsa04960,Aldosterone-regulated sodium reabsorption,M1,1,0
1,-2.1,GO:0046473,phosphatidic acid metabolic process,M1,1,0
1,-2.5,GO:0007205,protein kinase C-activating G protein-coupled receptor signaling pathway,M1,1,0
1,-3.2,GO:0062207,regulation of pattern recognition receptor signaling pathway,M1,1,0
1,-3.9,GO:0043434,response to peptide hormone,M1,1,0
1,-4,WP4541,Hippo-Merlin signaling dysregulation,M1,1,0
1,-5.4,GO:0007423,sensory organ development,M1,1,0
1,-5.4,GO:0048514,blood vessel morphogenesis,M1,1,0
1,-2.3,GO:0046475,glycerophospholipid catabolic process,M1,1,0
1,-2.7,GO:0001953,negative regulation of cell-matrix adhesion,M1,1,0
1,-2.2,GO:0086004,regulation of cardiac muscle cell contraction,M1,1,0
1,-2.8,GO:0035966,response to topologically incorrect protein,M1,1,0
1,-3.4,GO:0006986,response to unfolded protein,M1,1,0
1,-3.4,GO:0034656,nucleobase-containing small molecule catabolic process,M1,1,0
1,-6.2,GO:0044282,small molecule catabolic process,M1,1,0
1,-5.9,GO:0072073,kidney epithelium development,M1,1,0
1,-2.6,GO:0045936,negative regulation of phosphate metabolic process,M1,1,0
1,-4.5,GO:0006970,response to osmotic stress,M1,1,0
1,-2.1,GO:0050767,regulation of neurogenesis,M1,1,0
1,-2.9,GO:0045056,transcytosis,M1,1,0
1,-3.5,GO:0015697,quaternary ammonium group transport,M1,1,0
1,-3.3,GO:0048667,cell morphogenesis involved in neuron differentiation,M1,1,0
1,-3.1,hsa00600,Sphingolipid metabolism,M1,1,0
1,-3.6,GO:0031960,response to corticosteroid,M1,1,0
1,-5,GO:0060322,head development,M1,1,0
1,-2.9,GO:0035809,regulation of urine volume,M1,1,0
1,-2.6,GO:0072163,mesonephric epithelium development,M1,1,0
1,-2.2,GO:0032755,positive regulation of interleukin-6 production,M1,1,0
1,-2.4,hsa04668,TNF signaling pathway,M1,1,0
1,-2.3,GO:0006505,GPI anchor metabolic process,M1,1,0
1,-2.8,GO:1900048,positive regulation of hemostasis,M1,1,0
1,-2.1,GO:0015936,coenzyme A metabolic process,M1,1,0
1,-2.3,GO:0044106,cellular amine metabolic process,M1,1,0
1,-4.5,hsa04072,Phospholipase D signaling pathway,M1,1,0
1,-5,GO:0003073,regulation of systemic arterial blood pressure,M1,1,0
1,-2.2,GO:0007033,vacuole organization,M1,1,0
1,-2,GO:0003176,aortic valve development,M1,1,0
1,-4.2,GO:0048638,regulation of developmental growth,M1,1,0
1,-2.4,GO:0033628,regulation of cell adhesion mediated by integrin,M1,1,0
1,-2,GO:0030514,negative regulation of BMP signaling pathway,M1,1,0
1,-3.1,GO:0035461,vitamin transmembrane transport,M1,1,0
1,-3.9,GO:0006486,protein glycosylation,M1,1,0
1,-2.5,WP5121,Sphingolipid metabolism in senescence,M1,1,0
1,-4.3,GO:0045861,negative regulation of proteolysis,M1,1,0
1,-2.3,GO:0006163,purine nucleotide metabolic process,M1,1,0
1,-2.2,GO:0051701,biological process involved in interaction with host,M1,1,0
1,-2.3,GO:0016055,Wnt signaling pathway,M1,1,0
1,-3,R-HSA-5173105,O-linked glycosylation,M1,1,0
1,-3.1,GO:0042538,hyperosmotic salinity response,M1,1,0
1,-2.4,GO:0007405,neuroblast proliferation,M1,1,0
1,-2.1,R-HSA-5683057,MAPK family signaling cascades,M1,1,0
1,-6.9,GO:0002028,regulation of sodium ion transport,M1,1,0
1,-2.6,GO:0097305,response to alcohol,M1,1,0
1,-9.1,GO:0001655,urogenital system development,M1,1,0
1,-2.5,GO:0010592,positive regulation of lamellipodium assembly,M1,1,0
1,-2.2,GO:0031347,regulation of defense response,M1,1,0
1,-9.7,GO:0043408,regulation of MAPK cascade,M1,1,0
1,-6.8,GO:0001944,vasculature development,M1,1,0
1,-4.3,GO:0014074,response to purine-containing compound,M1,1,0
1,-2.8,GO:0016079,synaptic vesicle exocytosis,M1,1,0
1,-2.2,GO:0060292,long-term synaptic depression,M1,1,0
1,-3,GO:0060284,regulation of cell development,M1,1,0
1,-2.7,GO:0007269,neurotransmitter secretion,M1,1,0
1,-2.2,GO:0009308,amine metabolic process,M1,1,0
1,-2.3,GO:0090090,negative regulation of canonical Wnt signaling pathway,M1,1,0
1,-2.8,GO:0060840,artery development,M1,1,0
1,-3.5,GO:0046328,regulation of JNK cascade,M1,1,0
1,-11,GO:0042060,wound healing,M1,1,0
1,-2.9,R-HSA-5083635,Defective B3GALTL causes PpS,M1,1,0
1,-5,GO:0032757,positive regulation of interleukin-8 production,M1,1,0
1,-7.7,GO:0035239,tube morphogenesis,M1,1,0
1,-4.3,GO:1903532,positive regulation of secretion by cell,M1,1,0
1,-4,GO:0002237,response to molecule of bacterial origin,M1,1,0
1,-3.3,R-HSA-140534,Caspase activation via Death Receptors in the presence of ligand,M1,1,0
1,-6.4,GO:0002009,morphogenesis of an epithelium,M1,1,0
1,-3.8,GO:0035815,positive regulation of renal sodium excretion,M1,1,0
1,-4.8,GO:0016054,organic acid catabolic process,M1,1,0
1,-5.1,GO:0040008,regulation of growth,M1,1,0
1,-2.6,hsa04064,NF-kappa B signaling pathway,M1,1,0
1,-2.2,WP4549,Fragile X syndrome,M1,1,0
1,-3.1,GO:0019216,regulation of lipid metabolic process,M1,1,0
1,-4.9,GO:0035850,epithelial cell differentiation involved in kidney development,M1,1,0
1,-2.1,GO:0071398,cellular response to fatty acid,M1,1,0
1,-2.1,GO:1905207,regulation of cardiocyte differentiation,M1,1,0
1,-4.2,WP98,Prostaglandin synthesis and regulation,M1,1,0
1,-3,GO:0015908,fatty acid transport,M1,1,0
1,-2.9,GO:0009119,ribonucleoside metabolic process,M1,1,0
1,-2.1,GO:0010638,positive regulation of organelle organization,M1,1,0
1,-3,GO:0048858,cell projection morphogenesis,M1,1,0
1,-2.7,GO:0032490,detection of molecule of bacterial origin,M1,1,0
1,-2.6,GO:0090505,epiboly involved in wound healing,M1,1,0
1,-3.6,GO:0032868,response to insulin,M1,1,0
1,-2.9,GO:0035907,dorsal aorta development,M1,1,0
