stableID	namegene	nametrans	descript	transtype
ENSNVIG00000000472				processed_pseudogene
ENSNVIG00000000473	ALAS1	ALAS1-201	5'-aminolevulinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:396]	protein_coding
ENSNVIG00000000474	FSCN3	FSCN3-201	fascin actin-bundling protein 3 [Source:HGNC Symbol;Acc:HGNC:3961]	protein_coding
ENSNVIG00000000475			ribosomal protein S29 [Source:HGNC Symbol;Acc:HGNC:10419]	protein_coding
ENSNVIG00000000476	LAMTOR4	LAMTOR4-201	"late endosomal/lysosomal adaptor, MAPK and MTOR activator 4 [Source:HGNC Symbol;Acc:HGNC:33772]"	protein_coding
ENSNVIG00000000476	LAMTOR4	LAMTOR4-202	"late endosomal/lysosomal adaptor, MAPK and MTOR activator 4 [Source:HGNC Symbol;Acc:HGNC:33772]"	protein_coding
ENSNVIG00000000477	SORBS1	SORBS1-201	sorbin and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14565]	protein_coding
ENSNVIG00000000477	SORBS1	SORBS1-202	sorbin and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14565]	protein_coding
ENSNVIG00000000477	SORBS1	SORBS1-203	sorbin and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14565]	protein_coding
ENSNVIG00000000477	SORBS1	SORBS1-204	sorbin and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14565]	protein_coding
ENSNVIG00000000477	SORBS1	SORBS1-205	sorbin and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14565]	protein_coding
ENSNVIG00000000477	SORBS1	SORBS1-206	sorbin and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14565]	protein_coding
ENSNVIG00000000477	SORBS1	SORBS1-207	sorbin and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14565]	protein_coding
ENSNVIG00000000478	TEF	TEF-201	"TEF transcription factor, PAR bZIP family member [Source:HGNC Symbol;Acc:HGNC:11722]"	protein_coding
ENSNVIG00000000479				protein_coding
ENSNVIG00000000479				protein_coding
ENSNVIG00000000480	Metazoa_SRP	Metazoa_SRP-201	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	misc_RNA
ENSNVIG00000000481	C12orf29	C12orf29-201	chromosome 12 open reading frame 29 [Source:HGNC Symbol;Acc:HGNC:25322]	protein_coding
ENSNVIG00000000482	SPAG1	SPAG1-201	sperm associated antigen 1 [Source:HGNC Symbol;Acc:HGNC:11212]	protein_coding
ENSNVIG00000000483	DPP6	DPP6-201	dipeptidyl peptidase like 6 [Source:HGNC Symbol;Acc:HGNC:3010]	protein_coding
ENSNVIG00000000483	DPP6	DPP6-202	dipeptidyl peptidase like 6 [Source:HGNC Symbol;Acc:HGNC:3010]	protein_coding
ENSNVIG00000000483	DPP6	DPP6-203	dipeptidyl peptidase like 6 [Source:HGNC Symbol;Acc:HGNC:3010]	protein_coding
ENSNVIG00000000483	DPP6	DPP6-204	dipeptidyl peptidase like 6 [Source:HGNC Symbol;Acc:HGNC:3010]	protein_coding
ENSNVIG00000000484	LRR1	LRR1-201	leucine rich repeat protein 1 [Source:HGNC Symbol;Acc:HGNC:19742]	protein_coding
ENSNVIG00000000485	SSBP2	SSBP2-201	single stranded DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15831]	protein_coding
ENSNVIG00000000485	SSBP2	SSBP2-202	single stranded DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15831]	protein_coding
ENSNVIG00000000485	SSBP2	SSBP2-203	single stranded DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15831]	protein_coding
ENSNVIG00000000485	SSBP2	SSBP2-204	single stranded DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15831]	protein_coding
ENSNVIG00000000486	5S_rRNA	5S_rRNA-201	5S ribosomal RNA [Source:RFAM;Acc:RF00001]	rRNA
ENSNVIG00000000487	ZC3H7B	ZC3H7B-201	zinc finger CCCH-type containing 7B [Source:HGNC Symbol;Acc:HGNC:30869]	protein_coding
ENSNVIG00000000488	TRAPPC14	TRAPPC14-201	microtubule associated protein 11 [Source:HGNC Symbol;Acc:HGNC:25604]	protein_coding
ENSNVIG00000000489	ARF5	ARF5-201	ADP ribosylation factor 5 [Source:HGNC Symbol;Acc:HGNC:658]	protein_coding
ENSNVIG00000000490	FBXL5	FBXL5-201	F-box and leucine rich repeat protein 5 [Source:HGNC Symbol;Acc:HGNC:13602]	protein_coding
ENSNVIG00000000490	FBXL5	FBXL5-202	F-box and leucine rich repeat protein 5 [Source:HGNC Symbol;Acc:HGNC:13602]	protein_coding
ENSNVIG00000000492	GCC1	GCC1-201	GRIP and coiled-coil domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19095]	protein_coding
ENSNVIG00000000493	RPL36AL	RPL36AL-201	ribosomal protein L36a like [Source:HGNC Symbol;Acc:HGNC:10346]	protein_coding
ENSNVIG00000000494				protein_coding
ENSNVIG00000000495	C12orf50	C12orf50-201	chromosome 12 open reading frame 50 [Source:HGNC Symbol;Acc:HGNC:26665]	protein_coding
ENSNVIG00000000495	C12orf50	C12orf50-202	chromosome 12 open reading frame 50 [Source:HGNC Symbol;Acc:HGNC:26665]	protein_coding
ENSNVIG00000000496	ACOT9	ACOT9-201	acyl-CoA thioesterase 9 [Source:HGNC Symbol;Acc:HGNC:17152]	protein_coding
ENSNVIG00000000496	ACOT9	ACOT9-202	acyl-CoA thioesterase 9 [Source:HGNC Symbol;Acc:HGNC:17152]	protein_coding
ENSNVIG00000000496	ACOT9	ACOT9-203	acyl-CoA thioesterase 9 [Source:HGNC Symbol;Acc:HGNC:17152]	protein_coding
ENSNVIG00000000497				lncRNA
ENSNVIG00000000498	POC1A	POC1A-201	POC1 centriolar protein A [Source:HGNC Symbol;Acc:HGNC:24488]	protein_coding
ENSNVIG00000000498	POC1A	POC1A-202	POC1 centriolar protein A [Source:HGNC Symbol;Acc:HGNC:24488]	protein_coding
ENSNVIG00000000499	KCNE4	KCNE4-201	potassium voltage-gated channel subfamily E regulatory subunit 4 [Source:HGNC Symbol;Acc:HGNC:6244]	protein_coding
ENSNVIG00000000500	MGAT2	MGAT2-201	"alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7045]"	protein_coding
ENSNVIG00000000501	SCG2	SCG2-201	secretogranin II [Source:HGNC Symbol;Acc:HGNC:10575]	protein_coding
ENSNVIG00000000502	ZNF800	ZNF800-201	zinc finger protein 800 [Source:HGNC Symbol;Acc:HGNC:27267]	protein_coding
ENSNVIG00000000502	ZNF800	ZNF800-202	zinc finger protein 800 [Source:HGNC Symbol;Acc:HGNC:27267]	protein_coding
ENSNVIG00000000503				scaRNA
ENSNVIG00000000504	DNM2	DNM2-201	dynamin 2 [Source:HGNC Symbol;Acc:HGNC:2974]	protein_coding
ENSNVIG00000000504	DNM2	DNM2-202	dynamin 2 [Source:HGNC Symbol;Acc:HGNC:2974]	protein_coding
ENSNVIG00000000504	DNM2	DNM2-203	dynamin 2 [Source:HGNC Symbol;Acc:HGNC:2974]	protein_coding
ENSNVIG00000000504	DNM2	DNM2-204	dynamin 2 [Source:HGNC Symbol;Acc:HGNC:2974]	protein_coding
ENSNVIG00000000504	DNM2	DNM2-205	dynamin 2 [Source:HGNC Symbol;Acc:HGNC:2974]	protein_coding
ENSNVIG00000000505	PIFO	PIFO-201	primary cilia formation [Source:HGNC Symbol;Acc:HGNC:27009]	protein_coding
ENSNVIG00000000505	PIFO	PIFO-202	primary cilia formation [Source:HGNC Symbol;Acc:HGNC:27009]	protein_coding
ENSNVIG00000000506				lncRNA
ENSNVIG00000000507	DNAAF2	DNAAF2-201	dynein axonemal assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:20188]	protein_coding
ENSNVIG00000000508	PEA15	PEA15-201	proliferation and apoptosis adaptor protein 15 [Source:HGNC Symbol;Acc:HGNC:8822]	protein_coding
ENSNVIG00000000509	GAL3ST4	GAL3ST4-201	galactose-3-O-sulfotransferase 4 [Source:HGNC Symbol;Acc:HGNC:24145]	protein_coding
ENSNVIG00000000510	RANGAP1	RANGAP1-201	Ran GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:9854]	protein_coding
ENSNVIG00000000511	NELFA	NELFA-201	negative elongation factor complex member A [Source:HGNC Symbol;Acc:HGNC:12768]	protein_coding
ENSNVIG00000000512				protein_coding
ENSNVIG00000000513	RN19A	RN19A-201	"ring finger protein 19A, RBR E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:13432]"	protein_coding
ENSNVIG00000000513	RN19A	RN19A-202	"ring finger protein 19A, RBR E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:13432]"	protein_coding
ENSNVIG00000000514	AP1S3	AP1S3-201	adaptor related protein complex 1 subunit sigma 3 [Source:HGNC Symbol;Acc:HGNC:18971]	protein_coding
ENSNVIG00000000515	7SK	7SK-201	7SK RNA [Source:RFAM;Acc:RF00100]	misc_RNA
ENSNVIG00000000517	C7	C7-201	complement C7 [Source:HGNC Symbol;Acc:HGNC:1346]	protein_coding
ENSNVIG00000000518	5S_rRNA	5S_rRNA-201	5S ribosomal RNA [Source:RFAM;Acc:RF00001]	rRNA
ENSNVIG00000000519				protein_coding
ENSNVIG00000000520	WDFY1	WDFY1-201	WD repeat and FYVE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20451]	protein_coding
ENSNVIG00000000521	U1	U1-201	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]	snRNA
ENSNVIG00000000522				protein_coding
ENSNVIG00000000524	NFX1	NFX1-201	"nuclear transcription factor, X-box binding 1 [Source:HGNC Symbol;Acc:HGNC:7803]"	protein_coding
ENSNVIG00000000525	DUSP7	DUSP7-201	dual specificity phosphatase 7 [Source:HGNC Symbol;Acc:HGNC:3073]	protein_coding
ENSNVIG00000000526				miRNA
ENSNVIG00000000527				protein_coding
ENSNVIG00000000528				protein_coding
ENSNVIG00000000529			ribosomal protein L29 [Source:HGNC Symbol;Acc:HGNC:10331]	protein_coding
ENSNVIG00000000529			ribosomal protein L29 [Source:HGNC Symbol;Acc:HGNC:10331]	protein_coding
ENSNVIG00000000530				protein_coding
ENSNVIG00000000532	CHADL	CHADL-201	chondroadherin like [Source:HGNC Symbol;Acc:HGNC:25165]	protein_coding
ENSNVIG00000000533	DCAF8	DCAF8-201	DDB1 and CUL4 associated factor 8 [Source:HGNC Symbol;Acc:HGNC:24891]	protein_coding
ENSNVIG00000000533	DCAF8	DCAF8-202	DDB1 and CUL4 associated factor 8 [Source:HGNC Symbol;Acc:HGNC:24891]	protein_coding
ENSNVIG00000000533	DCAF8	DCAF8-203	DDB1 and CUL4 associated factor 8 [Source:HGNC Symbol;Acc:HGNC:24891]	protein_coding
ENSNVIG00000000534	BST1	BST1-201	bone marrow stromal cell antigen 1 [Source:HGNC Symbol;Acc:HGNC:1118]	protein_coding
ENSNVIG00000000534	BST1	BST1-202	bone marrow stromal cell antigen 1 [Source:HGNC Symbol;Acc:HGNC:1118]	protein_coding
ENSNVIG00000000535	GRM8	GRM8-201	glutamate metabotropic receptor 8 [Source:HGNC Symbol;Acc:HGNC:4600]	protein_coding
ENSNVIG00000000536	MGT4C	MGT4C-201	MGAT4 family member C [Source:HGNC Symbol;Acc:HGNC:30871]	protein_coding
ENSNVIG00000000537	STAG3	STAG3-201	stromal antigen 3 [Source:HGNC Symbol;Acc:HGNC:11356]	protein_coding
ENSNVIG00000000538	LRRC32	LRRC32-201	leucine rich repeat containing 32 [Source:HGNC Symbol;Acc:HGNC:4161]	protein_coding
ENSNVIG00000000539	KLHDC1	KLHDC1-201	kelch domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19836]	protein_coding
ENSNVIG00000000540	U4	U4-201	U4 spliceosomal RNA [Source:RFAM;Acc:RF00015]	snRNA
ENSNVIG00000000541	5S_rRNA	5S_rRNA-201	5S ribosomal RNA [Source:RFAM;Acc:RF00001]	rRNA
ENSNVIG00000000542				protein_coding
ENSNVIG00000000543	L3MBTL2	L3MBTL2-201	L3MBTL histone methyl-lysine binding protein 2 [Source:HGNC Symbol;Acc:HGNC:18594]	protein_coding
ENSNVIG00000000543	L3MBTL2	L3MBTL2-202	L3MBTL histone methyl-lysine binding protein 2 [Source:HGNC Symbol;Acc:HGNC:18594]	protein_coding
ENSNVIG00000000544	5S_rRNA	5S_rRNA-201	5S ribosomal RNA [Source:RFAM;Acc:RF00001]	rRNA
ENSNVIG00000000545				protein_coding
ENSNVIG00000000546				protein_coding
ENSNVIG00000000547	5S_rRNA	5S_rRNA-201	5S ribosomal RNA [Source:RFAM;Acc:RF00001]	rRNA
ENSNVIG00000000548	MRPL44	MRPL44-201	mitochondrial ribosomal protein L44 [Source:HGNC Symbol;Acc:HGNC:16650]	protein_coding
ENSNVIG00000000549	CHMP5	CHMP5-201	charged multivesicular body protein 5 [Source:HGNC Symbol;Acc:HGNC:26942]	protein_coding
ENSNVIG00000000549	CHMP5	CHMP5-202	charged multivesicular body protein 5 [Source:HGNC Symbol;Acc:HGNC:26942]	protein_coding
ENSNVIG00000000550	C4orf48	C4orf48-201	chromosome 4 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:34437]	protein_coding
ENSNVIG00000000551	TSSK4	TSSK4-201	testis specific serine kinase 4 [Source:HGNC Symbol;Acc:HGNC:19825]	protein_coding
ENSNVIG00000000551	TSSK4	TSSK4-202	testis specific serine kinase 4 [Source:HGNC Symbol;Acc:HGNC:19825]	protein_coding
ENSNVIG00000000552	MIR592	MIR592-201	microRNA 592 [Source:HGNC Symbol;Acc:HGNC:32848]	miRNA
ENSNVIG00000000553	SNORD72	SNORD72-201	"small nucleolar RNA, C/D box 72 [Source:HGNC Symbol;Acc:HGNC:32733]"	snoRNA
ENSNVIG00000000554				protein_coding
ENSNVIG00000000555				protein_coding
ENSNVIG00000000556	ZNF280C	ZNF280C-201	zinc finger protein 280C [Source:HGNC Symbol;Acc:HGNC:25955]	protein_coding
ENSNVIG00000000557	ANR46	ANR46-201	ankyrin repeat domain 46 [Source:HGNC Symbol;Acc:HGNC:27229]	protein_coding
ENSNVIG00000000557	ANR46	ANR46-203	ankyrin repeat domain 46 [Source:HGNC Symbol;Acc:HGNC:27229]	protein_coding
ENSNVIG00000000557	ANR46	ANR46-202	ankyrin repeat domain 46 [Source:HGNC Symbol;Acc:HGNC:27229]	protein_coding
ENSNVIG00000000558	Metazoa_SRP	Metazoa_SRP-201	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	misc_RNA
ENSNVIG00000000559	NAT8L	NAT8L-201	N-acetyltransferase 8 like [Source:HGNC Symbol;Acc:HGNC:26742]	protein_coding
ENSNVIG00000000560	SERPINE2	SERPINE2-201	serpin family E member 2 [Source:HGNC Symbol;Acc:HGNC:8951]	protein_coding
ENSNVIG00000000560	SERPINE2	SERPINE2-202	serpin family E member 2 [Source:HGNC Symbol;Acc:HGNC:8951]	protein_coding
ENSNVIG00000000561	NEUT	NEUT-201	neurotensin [Source:HGNC Symbol;Acc:HGNC:8038]	protein_coding
ENSNVIG00000000561	NEUT	NEUT-202	neurotensin [Source:HGNC Symbol;Acc:HGNC:8038]	protein_coding
ENSNVIG00000000562				protein_coding
ENSNVIG00000000563	5S_rRNA	5S_rRNA-201	5S ribosomal RNA [Source:RFAM;Acc:RF00001]	rRNA
ENSNVIG00000000564				protein_coding
ENSNVIG00000000565	AAPK1	AAPK1-201	protein kinase AMP-activated catalytic subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:9376]	protein_coding
ENSNVIG00000000565	AAPK1	AAPK1-202	protein kinase AMP-activated catalytic subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:9376]	protein_coding
ENSNVIG00000000565	AAPK1	AAPK1-203	protein kinase AMP-activated catalytic subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:9376]	protein_coding
ENSNVIG00000000566	KLHDC2	KLHDC2-201	kelch domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20231]	protein_coding
ENSNVIG00000000566	KLHDC2	KLHDC2-202	kelch domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20231]	protein_coding
ENSNVIG00000000566	KLHDC2	KLHDC2-203	kelch domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20231]	protein_coding
ENSNVIG00000000567	MON1A	MON1A-201	"MON1 homolog A, secretory trafficking associated [Source:HGNC Symbol;Acc:HGNC:28207]"	protein_coding
ENSNVIG00000000568				protein_coding
ENSNVIG00000000569	PRDX4	PRDX4-201	peroxiredoxin 4 [Source:HGNC Symbol;Acc:HGNC:17169]	protein_coding
ENSNVIG00000000569	PRDX4	PRDX4-202	peroxiredoxin 4 [Source:HGNC Symbol;Acc:HGNC:17169]	protein_coding
ENSNVIG00000000570	U2	U2-201	U2 spliceosomal RNA [Source:RFAM;Acc:RF00004]	snRNA
ENSNVIG00000000572	CHMP4A	CHMP4A-201	charged multivesicular body protein 4A [Source:HGNC Symbol;Acc:HGNC:20274]	protein_coding
ENSNVIG00000000574	NUP155	NUP155-201	nucleoporin 155 [Source:HGNC Symbol;Acc:HGNC:8063]	protein_coding
ENSNVIG00000000575	POLN	POLN-201	DNA polymerase nu [Source:HGNC Symbol;Acc:HGNC:18870]	protein_coding
ENSNVIG00000000576	RBM6	RBM6-201	RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]	protein_coding
ENSNVIG00000000577	PPP4C	PPP4C-201	protein phosphatase 4 catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9319]	protein_coding
ENSNVIG00000000577	PPP4C	PPP4C-202	protein phosphatase 4 catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9319]	protein_coding
ENSNVIG00000000578	5S_rRNA	5S_rRNA-201	5S ribosomal RNA [Source:RFAM;Acc:RF00001]	rRNA
ENSNVIG00000000579	BAG1	BAG1-201	BCL2 associated athanogene 1 [Source:HGNC Symbol;Acc:HGNC:937]	protein_coding
ENSNVIG00000000580				lncRNA
ENSNVIG00000000581	U6	U6-201	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]	snRNA
ENSNVIG00000000582	MAGI2	MAGI2-201	"membrane associated guanylate kinase, WW and PDZ domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18957]"	protein_coding
ENSNVIG00000000582	MAGI2	MAGI2-202	"membrane associated guanylate kinase, WW and PDZ domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18957]"	protein_coding
ENSNVIG00000000582	MAGI2	MAGI2-203	"membrane associated guanylate kinase, WW and PDZ domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18957]"	protein_coding
ENSNVIG00000000582	MAGI2	MAGI2-204	"membrane associated guanylate kinase, WW and PDZ domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18957]"	protein_coding
ENSNVIG00000000583	AATF	AATF-201	apoptosis antagonizing transcription factor [Source:HGNC Symbol;Acc:HGNC:19235]	protein_coding
ENSNVIG00000000585	U6	U6-201	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]	snRNA
ENSNVIG00000000586	SNORA70	SNORA70-201	Small nucleolar RNA SNORA70 [Source:RFAM;Acc:RF00156]	snoRNA
ENSNVIG00000000587	KIF5B	KIF5B-201	kinesin family member 5B [Source:HGNC Symbol;Acc:HGNC:6324]	protein_coding
ENSNVIG00000000588	POT1	POT1-201	protection of telomeres 1 [Source:HGNC Symbol;Acc:HGNC:17284]	protein_coding
ENSNVIG00000000588	POT1	POT1-202	protection of telomeres 1 [Source:HGNC Symbol;Acc:HGNC:17284]	protein_coding
ENSNVIG00000000589				protein_coding
ENSNVIG00000000589				protein_coding
ENSNVIG00000000589				protein_coding
ENSNVIG00000000589				protein_coding
ENSNVIG00000000589				protein_coding
ENSNVIG00000000589				protein_coding
ENSNVIG00000000590				protein_coding
ENSNVIG00000000591				protein_coding
ENSNVIG00000000592	RASSF9	RASSF9-201	Ras association domain family member 9 [Source:HGNC Symbol;Acc:HGNC:15739]	protein_coding
ENSNVIG00000000593	EP300	EP300-201	E1A binding protein p300 [Source:HGNC Symbol;Acc:HGNC:3373]	protein_coding
ENSNVIG00000000594	E9PBB3	E9PBB3-201	peroxisomal biogenesis factor 19 [Source:HGNC Symbol;Acc:HGNC:9713]	protein_coding
ENSNVIG00000000594	E9PBB3	E9PBB3-202	peroxisomal biogenesis factor 19 [Source:HGNC Symbol;Acc:HGNC:9713]	protein_coding
ENSNVIG00000000594	E9PBB3	E9PBB3-203	peroxisomal biogenesis factor 19 [Source:HGNC Symbol;Acc:HGNC:9713]	protein_coding
ENSNVIG00000000595	5S_rRNA	5S_rRNA-201	5S ribosomal RNA [Source:RFAM;Acc:RF00001]	rRNA
ENSNVIG00000000596	CCR6	CCR6-201	C-C motif chemokine receptor 6 [Source:HGNC Symbol;Acc:HGNC:1607]	protein_coding
ENSNVIG00000000597			magnesium dependent phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:28781]	protein_coding
ENSNVIG00000000598				protein_coding
ENSNVIG00000000599	5S_rRNA	5S_rRNA-201	5S ribosomal RNA [Source:RFAM;Acc:RF00001]	rRNA
ENSNVIG00000000600	TSKU	TSKU-201	"tsukushi, small leucine rich proteoglycan [Source:HGNC Symbol;Acc:HGNC:28850]"	protein_coding
ENSNVIG00000000601	ATP5F1B	ATP5F1B-201	ATP synthase F1 subunit beta [Source:HGNC Symbol;Acc:HGNC:830]	protein_coding
ENSNVIG00000000602	NEDD8	NEDD8-202	NEDD8 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:7732]	protein_coding
ENSNVIG00000000602	NEDD8	NEDD8-201	NEDD8 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:7732]	protein_coding
ENSNVIG00000000603	ALX1	ALX1-201	ALX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:1494]	protein_coding
ENSNVIG00000000604	SPINK4	SPINK4-201	"serine peptidase inhibitor, Kazal type 4 [Source:HGNC Symbol;Acc:HGNC:16646]"	protein_coding
ENSNVIG00000000605	5S_rRNA	5S_rRNA-201	5S ribosomal RNA [Source:RFAM;Acc:RF00001]	rRNA
ENSNVIG00000000606	ACER3	ACER3-201	alkaline ceramidase 3 [Source:HGNC Symbol;Acc:HGNC:16066]	protein_coding
ENSNVIG00000000606	ACER3	ACER3-202	alkaline ceramidase 3 [Source:HGNC Symbol;Acc:HGNC:16066]	protein_coding
ENSNVIG00000000607	U6	U6-201	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]	snRNA
ENSNVIG00000000608	EPC1	EPC1-201	enhancer of polycomb homolog 1 [Source:HGNC Symbol;Acc:HGNC:19876]	protein_coding
ENSNVIG00000000608	EPC1	EPC1-202	enhancer of polycomb homolog 1 [Source:HGNC Symbol;Acc:HGNC:19876]	protein_coding
ENSNVIG00000000609				protein_coding
ENSNVIG00000000610	U12	U12-201	U12 minor spliceosomal RNA [Source:RFAM;Acc:RF00007]	snRNA
ENSNVIG00000000611				snoRNA
ENSNVIG00000000612	PTCHD1	PTCHD1-201	patched domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26392]	protein_coding
ENSNVIG00000000613	B4GALT1	B4GALT1-201	"beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]"	protein_coding
ENSNVIG00000000614	HAUS3	HAUS3-201	HAUS augmin like complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:28719]	protein_coding
ENSNVIG00000000615	FAM124B	FAM124B-201	family with sequence similarity 124 member B [Source:HGNC Symbol;Acc:HGNC:26224]	protein_coding
ENSNVIG00000000616				protein_coding
ENSNVIG00000000617	GMPR2	GMPR2-201	guanosine monophosphate reductase 2 [Source:HGNC Symbol;Acc:HGNC:4377]	protein_coding
ENSNVIG00000000617	GMPR2	GMPR2-202	guanosine monophosphate reductase 2 [Source:HGNC Symbol;Acc:HGNC:4377]	protein_coding
ENSNVIG00000000618	LRRIQ1	LRRIQ1-201	leucine rich repeats and IQ motif containing 1 [Source:HGNC Symbol;Acc:HGNC:25708]	protein_coding
ENSNVIG00000000618	LRRIQ1	LRRIQ1-202	leucine rich repeats and IQ motif containing 1 [Source:HGNC Symbol;Acc:HGNC:25708]	protein_coding
ENSNVIG00000000619	U6	U6-201	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]	snRNA
ENSNVIG00000000620	PTGES3	PTGES3-201	prostaglandin E synthase 3 [Source:HGNC Symbol;Acc:HGNC:16049]	protein_coding
ENSNVIG00000000620	PTGES3	PTGES3-202	prostaglandin E synthase 3 [Source:HGNC Symbol;Acc:HGNC:16049]	protein_coding
ENSNVIG00000000620	PTGES3	PTGES3-203	prostaglandin E synthase 3 [Source:HGNC Symbol;Acc:HGNC:16049]	protein_coding
ENSNVIG00000000620	PTGES3	PTGES3-204	prostaglandin E synthase 3 [Source:HGNC Symbol;Acc:HGNC:16049]	protein_coding
ENSNVIG00000000620	PTGES3	PTGES3-205	prostaglandin E synthase 3 [Source:HGNC Symbol;Acc:HGNC:16049]	protein_coding
ENSNVIG00000000621				protein_coding
ENSNVIG00000000622				lncRNA
ENSNVIG00000000622				lncRNA
ENSNVIG00000000623	U4	U4-201	U4 spliceosomal RNA [Source:RFAM;Acc:RF00015]	snRNA
ENSNVIG00000000624	TTC33	TTC33-201	tetratricopeptide repeat domain 33 [Source:HGNC Symbol;Acc:HGNC:29959]	protein_coding
ENSNVIG00000000624	TTC33	TTC33-202	tetratricopeptide repeat domain 33 [Source:HGNC Symbol;Acc:HGNC:29959]	protein_coding
ENSNVIG00000000624	TTC33	TTC33-203	tetratricopeptide repeat domain 33 [Source:HGNC Symbol;Acc:HGNC:29959]	protein_coding
ENSNVIG00000000625	GPR31	GPR31-201	G protein-coupled receptor 31 [Source:HGNC Symbol;Acc:HGNC:4486]	protein_coding
ENSNVIG00000000626				lncRNA
ENSNVIG00000000627	SMU1	SMU1-201	SMU1 DNA replication regulator and spliceosomal factor [Source:HGNC Symbol;Acc:HGNC:18247]	protein_coding
ENSNVIG00000000628	CUL3	CUL3-201	cullin 3 [Source:HGNC Symbol;Acc:HGNC:2553]	protein_coding
ENSNVIG00000000628	CUL3	CUL3-202	cullin 3 [Source:HGNC Symbol;Acc:HGNC:2553]	protein_coding
ENSNVIG00000000628	CUL3	CUL3-203	cullin 3 [Source:HGNC Symbol;Acc:HGNC:2553]	protein_coding
ENSNVIG00000000629	RBM5	RBM5-201	RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]	protein_coding
ENSNVIG00000000629	RBM5	RBM5-202	RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]	protein_coding
ENSNVIG00000000630				protein_coding
ENSNVIG00000000631				pseudogene
ENSNVIG00000000632				protein_coding
ENSNVIG00000000633				pseudogene
ENSNVIG00000000634	U6	U6-201	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]	snRNA
ENSNVIG00000000635	5S_rRNA	5S_rRNA-201	5S ribosomal RNA [Source:RFAM;Acc:RF00001]	rRNA
ENSNVIG00000000636	SNX31	SNX31-201	sorting nexin 31 [Source:HGNC Symbol;Acc:HGNC:28605]	protein_coding
ENSNVIG00000000637	RBX1	RBX1-201	ring-box 1 [Source:HGNC Symbol;Acc:HGNC:9928]	protein_coding
ENSNVIG00000000637	RBX1	RBX1-202	ring-box 1 [Source:HGNC Symbol;Acc:HGNC:9928]	protein_coding
ENSNVIG00000000638	LHX1	LHX1-201	LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6593]	protein_coding
